task_label,copy_fraction_percent,raw_mean_abs_delta_probability,compressed_mean_abs_delta_probability,probability_stability_advantage_raw_minus_compressed,bootstrap_ci_low,bootstrap_ci_high,raw_p95_abs_delta_probability,compressed_p95_abs_delta_probability,raw_delta_auprc,compressed_delta_auprc,raw_delta_logloss,compressed_delta_logloss,raw_delta_brier,compressed_delta_brier,raw_top10_retention,compressed_top10_retention,raw_top10_jaccard,compressed_top10_jaccard,n_patients,n_episodes,n_bootstrap
ICU transfer,25.0,0.0004646253238654,0.0006633641280423,-0.0001987388041769,-0.0003703965164773,-3.1798569986273853e-05,0.0012769806367298,0.0022303806418643,-0.001250668350651,-0.0015713574883662,0.0001813581092109,0.0001843731201825,2.633655887748776e-05,2.076789746630059e-05,0.984251968503937,0.968503937007874,0.9689922480620154,0.9389312977099236,687,1265,10000
ICU transfer,50.0,0.0010547970419043,0.0012982962201804,-0.000243499178276,-0.0005290861759625,6.945945373043971e-05,0.0036835498370939,0.0061294029913377,0.0059254682317117,-0.003358115055155,-0.0002784324874162,0.0007333147087695,-0.0001712765901879,1.1338164449724296e-05,0.9763779527559056,0.9448818897637796,0.953846153846154,0.8955223880597015,687,1265,10000
ICU transfer,100.0,0.0019044610521985,0.0027241900268577,-0.0008197289746592,-0.0013470920377732,-0.0002704176991357,0.0081834618820237,0.0136259245552642,0.0114918178128,0.0078275992634186,-0.0006467732047736,0.0010317070109731,-0.0002689761804985,1.549723085978935e-05,0.9448818897637796,0.8818897637795275,0.8955223880597015,0.7887323943661971,687,1265,10000
Readmission,25.0,0.0003895283227068,0.000213245849957,0.0001762824727498,6.234204557097217e-05,0.0003277978666611,0.0016354431494485,0.0008509114215907,0.0001883866795696,-0.0006663914650064,-9.617089974361948e-05,3.332038937547965e-05,-3.46733775898056e-05,1.6082421816818182e-05,0.9931506849315068,0.9931506849315068,0.9863945578231292,0.9863945578231292,777,1455,10000
Readmission,50.0,0.0006833416851904,0.0002562103585259,0.0004271313266645,0.0002313415694227,0.0006962666165203,0.0029948970071738,0.0009958955171784,0.00060739421178,-0.0005682034138238,-9.625866979096064e-05,1.163491426714458e-05,-3.479320742541536e-05,9.352267278328608e-06,0.9931506849315068,0.9931506849315068,0.9863945578231292,0.9863945578231292,777,1455,10000
Readmission,100.0,0.0012160066421537,0.0003040859435084,0.0009119206986453,0.0006027654744008,0.0013534132244736,0.0057273362157098,0.0011946377849153,0.0040159120133373,-0.0011733568896343,-0.0002132853198859,-3.130118099492485e-06,-8.15359849290348e-05,-5.007793070915811e-07,0.9794520547945206,0.9931506849315068,0.959731543624161,0.9863945578231292,777,1455,10000
