task_label,comparison,comparison_label,metric,metric_label,model_a,model_b,model_a_value,model_b_value,benefit_point,benefit_ci_low,benefit_ci_high,fraction_bootstrap_model_a_better,n_paired_patients,n_paired_examples,n_paired_positive,conclusion
Readmission,Full16384,"Full compression vs raw, context 16384",auroc,AUROC,condition_era_90_backfill_16384,raw_16384,0.794185907405192,0.8034214618973562,-0.0092355544921641,-0.022886173504549,0.0025040838087342,0.0659,1190,2189,260,difference_not_established
Readmission,Full16384,"Full compression vs raw, context 16384",auprc,AUPRC,condition_era_90_backfill_16384,raw_16384,0.4161370222203375,0.4201644014436382,-0.0040273792233007,-0.0257867572452285,0.0140556456442197,0.3144,1190,2189,260,difference_not_established
Readmission,Full16384,"Full compression vs raw, context 16384",brier,Brier score,condition_era_90_backfill_16384,raw_16384,0.0876669613776032,0.0880412791639747,0.0003743177863715,-0.0010558558706947,0.0018523687804965,0.6856,1190,2189,260,difference_not_established
Readmission,Full16384,"Full compression vs raw, context 16384",logloss,LogLoss,condition_era_90_backfill_16384,raw_16384,0.3034173858434765,0.3056220625981457,0.0022046767546692,-0.0021564261060706,0.0066083579119924,0.8406,1190,2189,260,difference_not_established
Readmission,Full16384,"Full compression vs raw, context 16384",top_10pct_precision,Top-10% precision,condition_era_90_backfill_16384,raw_16384,0.4657534246575342,0.4383561643835616,0.0273972602739726,-0.0213698140200286,0.0610328638497652,0.8005,1190,2189,260,difference_not_established
ICU transfer,Full4096,"Full compression vs raw, context 4096",auroc,AUROC,condition_era_90_backfill_4096,raw_4096,0.8013018322082931,0.7948288331726133,0.0064729990356797,-0.0167445591556933,0.0304990537330927,0.7121,1154,2037,85,difference_not_established
ICU transfer,Full4096,"Full compression vs raw, context 4096",auprc,AUPRC,condition_era_90_backfill_4096,raw_4096,0.2241242849403359,0.2193999956294373,0.0047242893108986,-0.0265372112254131,0.0422491981043542,0.6692,1154,2037,85,difference_not_established
ICU transfer,Full4096,"Full compression vs raw, context 4096",brier,Brier score,condition_era_90_backfill_4096,raw_4096,0.0361847770265656,0.0363658328099494,0.0001810557833837,-0.0005772836687139,0.0009379880942129,0.6824,1154,2037,85,difference_not_established
ICU transfer,Full4096,"Full compression vs raw, context 4096",logloss,LogLoss,condition_era_90_backfill_4096,raw_4096,0.1474535706735491,0.1492586228302491,0.0018050521566999,-0.001192886648556,0.004896268935047,0.8784,1154,2037,85,difference_not_established
ICU transfer,Full4096,"Full compression vs raw, context 4096",top_10pct_precision,Top-10% precision,condition_era_90_backfill_4096,raw_4096,0.1813725490196078,0.1764705882352941,0.0049019607843137,-0.0204081632653061,0.043067376702245,0.6983,1154,2037,85,difference_not_established
ICU transfer,RepresentationOnly4096,"No-backfill vs raw, context 4096",auroc,AUROC,condition_era_90_no_backfill_4096,raw_4096,0.7731617647058823,0.7948288331726133,-0.021667068466731,-0.0511642462253513,0.0069374807137101,0.0688,1154,2037,85,difference_not_established
